Kompetenzelement,Frage,Antwortmöglichkeit,Ergänzende Informationen
04.04.03 Persönliche Kommunikation,Was gehört zur offenen Kommunikation? Welche Techniken sollten eingesetzt werden? ,"Offene Kommunikation bedeutet den freien Austausch von Informationen, Gedanken und Gefühlen in einer Atmosphäre von Vertrauen und Transparenz.
Aktives Zuhören: Aufmerksam auf das Gesagte eingehen und Interesse zeigen.
Empathie: Verständnis für die Perspektiven anderer zeigen.
Klarheit: Eindeutige und präzise Botschaften formulieren.
Feedback: Konstruktiv geben und annehmen.",Was gehört zur offenen Kommunikation? Welche Techniken sollten eingesetzt werden? 
04.04.03 Persönliche Kommunikation,Was sind die vier (4) Schritte des aktiven Zuhörens?,"1. Zuhören
2. Beobachten
3. Verstehen
4. Rückmelden
",Was sind die vier (4) Schritte des aktiven Zuhörens?
04.04.03 Persönliche Kommunikation,Was sind Web-Meetings und wie werden diese durchgeführt?,"Web-Meetings sind zeitgleiche Online-Besprechungen, die mithilfe digitaler Kommunikationstechnologien durchgeführt werden. Sie erfordern klare Ziele, strukturierte Vorbereitung, aktive Moderation und dokumentierte Ergebnisse, da persönliche Interaktion eingeschränkt ist.",Was sind Web-Meetings und wie werden diese durchgeführt?
04.04.03 Persönliche Kommunikation,Was versteht man unter asynchroner Kommunikation?,"Die Kommunikation ist zeitversetzt, z.B. per Brief, Fax oder e-mail. Synchrone Kommunikation findet zeitgleich statt, z.B. Gespräch von Angesicht zu Angesicht oder per Telefon.",Was versteht man unter asynchroner Kommunikation?
04.04.03 Persönliche Kommunikation,Was wird unter dem Eisbergmodell verstanden? Welche Auswirkungen hat das Modell auf Ihr Projekt?,"Etwa 20% der Kommunikation laufen über die Sachebene ab, sind sichtbar, 80% der Kommunkikation dagegen ""unsichtbar"" über die Gefühlsebene.
/
Nur 20% finden auf der Sachabene statt. Das Eisbergmodell beschreibt, dass Kommunikation zu einem großen Teil auf einer unsichtbaren Beziehungsebene stattfindet. 

Im Projektmanagement hilft es, Konflikte, Widerstände und Missverständnisse besser zu verstehen und durch gezielte Kommunikation Vertrauen, Zusammenarbeit und Projekterfolg zu fördern.",Was wird unter dem Eisbergmodell verstanden? Welche Auswirkungen hat das Modell auf Ihr Projekt?
04.04.03 Persönliche Kommunikation,Was wird unter verbaler und nonverbaler Kommunikation verstanden? Geben Sie jeweils ein Beispiel und beschreiben Sie die Bedeutung im Projekt .,"Verbale Kommunikation
Umfasst gesprochene oder geschriebene Worte zur Übermittlung von Inhalten und Fakten. Beispiel: „Das Projektmeeting startet um 14 Uhr.“ 
Bedeutung im Projekt: Ermöglicht klare Anweisungen, Status-Updates und Dokumentation, reduziert Missverständnisse.​

Nonverbale Kommunikation
Beinhaltet Mimik, Gestik, Körperhaltung und Blickkontakt zur Vermittlung von Emotionen und Einstellungen. Beispiel: Offene Armhaltung beim Präsentieren. 
Bedeutung im Projekt: Stärkt Glaubwürdigkeit, baut Vertrauen auf und ergänzt Worte – oft entscheidend für Teamdynamik und Stakeholder-Interaktionen.",Was wird unter verbaler und nonverbaler Kommunikation verstanden? Geben Sie jeweils ein Beispiel und beschreiben Sie die Bedeutung im Projekt .
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. 
Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. 
Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Worauf soll man achten beim Online-Meeting?,"Einhaltung der Netiquete, gute technische Verbindungen, einen Raum mit ruhiger Athmosphäre, gut in der Kamera sichtbar sein, Mikrofon nur aktiv schalten, wenn man etwas sagen will; ansonsten gleiche Punkte wie bei jedem Meeting: rechtzeitig vorab eine Agenda verschicken, klar definierte Ziele/ Aufgaben/ Ergebnissen des Meetings, geklärte Rollen (Moderator, Protokollant, Zeitnehmer) u.a.m.
",Worauf soll man achten beim Online-Meeting?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.04.03 Persönliche Kommunikation,Wofür werden agile Spiele benutzt?,"Agile Spiele wie Marshmallow Challenge, Planning Poker, Sailboat oder LEGO Scrum dienen zur praktischen Vermittlung agiler Prinzipien. Sie fördern Teamarbeit, Kommunikation, iteratives Arbeiten, Selbstorganisation und helfen, komplexe Konzepte erfahrbar zu machen. Sie werden für Teambuilding, Training und zur Verbesserung der Zusammenarbeit eingesetzt.",Wofür werden agile Spiele benutzt?
04.05.01 Projektdesign,"Agile Projekte sind per Definition besonders kundenorientiert. Welche Rolle spielt der Kundenwert (Kundennutzen) bei der Steuerung eines Sprints? Markieren Sie die falsche Antwort.
a) Wenn sich Kundenbedürfnisse ändern, ändert sich auch der Kundenwert und der Backlog muss neu Priorisiert werden.
b) Der Kundenwert wird in Interviews ermittelt und soll sich während des Projekt nicht mehr ändern.
c) Die Priorisierung des Backlogs erfolgt laut Scrum durch den Product Owner, weil er am besten den Kundenwert kennt.
d) Der Kundenwert kann in Sprint Reviews validiert werden.

","b) Der Kundenwert wird in Interviews ermittelt und soll sich während des Projekt nicht mehr ändern.
",
04.05.01 Projektdesign,"Die Planung in agilen Projekten wird nicht zum Projektstart sondern (rollierend) zum Start jedes Sprints vorgenommen. Welche Aussagen gelten über die Ziele des Sprint Planning? Markieren Sie die falsche Antwort.
A) Nach dem Sprint Planning sind sich der Product Owner und das Team einig, was in dem Sprint erledigt werden soll.
B) Ziel des Sprint Planning ist, gemeinsam ein Sprint Backlog zu bilden.
C) Ziel des Sprint Planning ist, gemeinsam ein minimum viable product MVP zu definieren.
D) Ziel des Sprint Planning ist, die Anforderungen der relevanten Stakeholder zu ermitteln.
","D) Ziel des Sprint Planning ist, die Anforderungen der relevanten Stakeholder zu ermitteln.
Begründung: Schon von PO ermittelt und im Product backlog verortet!",
04.05.01 Projektdesign,"Erklären Sie das Vorgangsmodell SCRUM, nennen Sie Merkmale.","Scrum ist ein agiles Projektmanagement-Framework, das auf iterative Produktentwicklung in festen Zeitintervallen (Sprints) setzt und durch die Rollen Product Owner, Scrum Master und Entwicklungsteam, definierte Events (Sprint Planning, Daily Scrum, Review, Retrospektive) sowie Artefakte (Product Backlog, Sprint Backlog, Inkrement) gekennzeichnet ist. Zentrale Merkmale sind Selbstorganisation, Inspektion und Adaption, empirische Prozesssteuerung sowie kontinuierliche Verbesserung mit Fokus auf funktionsfähige Teilprodukte.

Iterative Vorgehensweise, Kundennähe, selbstbestimmte Arbeitsweise, Kommunikation, Flexibilität","SCRUM ist ein agiles Rahmenwerk, das komplexe Projekte in feste Iterationen (Sprints )unterteilt, die jeweils ein nutzbares Produktinkrement liefern. Mit rollierender Planung, veränderlichen Anforderungen und kontinuierlichem Kundenfeedback. Das selbstorganisierte Team zieht Aufgaben eigenständig aus dem priorisierten Backlog (Pull-Prinzip) und steuert sich nach dem empirischen Prinzip: Transparenz → Inspektion → Adaption. Risiken werden so früh erkannt ."
04.05.01 Projektdesign,Für welche Projekte eignet sich Scrum besonders?,"Komplexe Projekte mit unsicheren/ändernden Anforderungen (z. B. Software, Produktdesign, agile Branchen). Ideal für iterative Umsetzung, regelmäßiges Feedback und flexible Anpassung.",
